"FUN_BUSINESS_UNIT.Name","ModuleId","ConfigurationStatus","CreatedBy","CreationDate","LastUpdatedBy","LastUpdateDate","LastUpdateLogin"
"US1 Business Unit","10","Y","FIN_IMPL","2013/10/25 13:45:01.255","FIN_IMPL","2013/10/25 13:45:01.284","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","20","Y","FUSION","2014/07/16 16:13:15.372817","FUSION","2014/07/16 16:13:15.372817","0"
"US1 Business Unit","30","Y","FIN_IMPL","2013/10/25 13:45:01.208","FIN_IMPL","2013/10/25 13:45:01.271","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","40","Y","FIN_IMPL","2013/10/25 13:45:01.244","FIN_IMPL","2013/10/25 13:45:01.282","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","50","Y","FIN_IMPL","2013/10/25 13:45:01.267","FIN_IMPL","2013/10/25 13:45:01.286","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","70","Y","FIN_IMPL","2013/10/25 13:45:01.24","FIN_IMPL","2013/10/25 13:45:01.281","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","80","Y","FIN_IMPL","2013/10/25 13:45:01.247","FIN_IMPL","2013/10/25 13:45:01.283","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","90","Y","FIN_IMPL","2013/10/25 13:45:01.242","FIN_IMPL","2013/10/25 13:45:01.281","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","100","Y","FIN_IMPL","2013/10/25 13:45:01.262","FIN_IMPL","2013/10/25 13:45:01.285","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","110","Y","FIN_IMPL","2013/10/25 13:45:01.259","FIN_IMPL","2013/10/25 13:45:01.284","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","120","Y","FIN_IMPL","2013/10/25 13:45:01.265","FIN_IMPL","2013/10/25 13:45:01.286","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","130","Y","FIN_IMPL","2013/10/25 13:45:01.264","FIN_IMPL","2013/10/25 13:45:01.285","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","140","Y","FIN_IMPL","2013/10/25 13:45:01.245","FIN_IMPL","2013/10/25 13:45:01.282","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","180","Y","FIN_IMPL","2013/10/25 13:45:01.261","FIN_IMPL","2013/10/25 13:45:01.285","E991D7EE9EF54D86E0436204548C6CD7"
"US1 Business Unit","190","Y","CRM_IMPL","2014/01/14 02:26:52.0","CRM_IMPL","2014/01/14 02:26:52.221","EFE10884B08F4DA2E0436204548C4D40"
"US1 Business Unit","200","Y","FIN_IMPL","2014/01/22 23:40:36.0","FIN_IMPL","2014/01/22 23:40:36.263","F0961BD1828C25FBE0436204548C32BA"
"US1 Business Unit","210","Y","FIN_IMPL","2020/11/23 11:21:54.0","FIN_IMPL","2020/11/23 11:21:57.175","B4C488B04A0908CEE0539E90DF0A0932"
"US2 Business Unit","30","Y","FIN_IMPL","2018/05/30 14:16:58.0","FIN_IMPL","2018/05/30 14:16:58.712","6D6DF0359DB05BE6E0537990DF0A997A"
