"SetCode","OrganizationCode","ReferenceGroupName","Name","CreatedBy","CreationDate","DeterminantType","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","SysEffectiveDate","ClassificationCode","EffectiveStartDate","EffectiveEndDate"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MOO_SALES_METHODS","US1 Business Unit","FIN_IMPL","2013/10/25 13:30:39.629","BU","2013/10/25 13:30:41.541","E9917C7BA5A21944E0436204548C6BC7","FIN_IMPL","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","HZ_SALES_PERSON","US1 Business Unit","FIN_IMPL","2013/10/25 13:30:39.629","BU","2013/10/25 13:30:41.541","E9917C7BA5A21944E0436204548C6BC7","FIN_IMPL","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","ZX_TAX_CLASSIFICATION_CODES","US1 Business Unit","FIN_IMPL","2013/10/25 13:30:39.629","BU","2013/10/25 13:30:41.541","E9917C7BA5A21944E0436204548C6BC7","FIN_IMPL","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","CJM_ADJUSTMENT_TYPES","US1 Business Unit","JOHN.DUNBAR","2019/09/11 16:20:37.0","BU","2019/09/11 16:20:50.848","924A43F9DCEC2E9CE053C390DF0A6D47","JOHN.DUNBAR","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","CJM_CLAIM_CLASS_SOURCE_MAP","US1 Business Unit","JOHN.DUNBAR","2019/09/11 16:20:37.0","BU","2019/09/11 16:20:50.877","924A43F9DCEC2E9CE053C390DF0A6D47","JOHN.DUNBAR","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","CJM_CLAIM_TYPES","US1 Business Unit","JOHN.DUNBAR","2019/09/11 16:20:37.0","BU","2019/09/11 16:20:50.878","924A43F9DCEC2E9CE053C390DF0A6D47","JOHN.DUNBAR","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","HED_ADJ_CAL_SETID","US1 Business Unit","JOHN.DUNBAR","2019/09/11 16:20:37.0","BU","2019/09/11 16:20:50.879","924A43F9DCEC2E9CE053C390DF0A6D47","JOHN.DUNBAR","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","HED_DUE_DATE_CAL_SETID","US1 Business Unit","JOHN.DUNBAR","2019/09/11 16:20:37.0","BU","2019/09/11 16:20:50.88","924A43F9DCEC2E9CE053C390DF0A6D47","JOHN.DUNBAR","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","SVC_SR_SEVERITIES","US1 Business Unit","JOHN.DUNBAR","2019/09/11 16:20:37.0","BU","2019/09/11 16:20:50.881","924A43F9DCEC2E9CE053C390DF0A6D47","JOHN.DUNBAR","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MKL_DEAL_TYPE_SETID","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.898","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MOO_SETID_DECISION_LEVEL","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.941","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MOO_SETID_DEAL_HORIZION","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.942","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","CML_SETUPS","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.942","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MKL_LEAD_BUDGET_STATUS_SETID","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.943","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MKL_LEAD_CHANNEL_SETID","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.944","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MKL_LEAD_RANK_SETID","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.945","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MKL_LEAD_REASSIGN_REASON_SETID","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.945","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MKL_REJECT_REASON_SETID","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.946","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MKL_RETIRE_REASON_CD_SETID","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.947","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MKL_LEAD_TIMELINE_SETID","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.948","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MOO_SETID_RISK_LEVEL","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.948","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MOO_SETID_ASSESS_OVRRIDE_RSN","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.949","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","QP_PRICING_RULES","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.95","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MOO_SETID_REVN_CATEGORY","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.95","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MOO_SETID_REVENUE_TYPE","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.951","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MOO_STAGE_PHASE_CD","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.952","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MOO_SETID_STRATEGIC_VALUE","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.952","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"US1BUSET","E988DA0F6B302192E0436204548CB702 300000046987012 2013-10-25 13.20.39.492","MOO_SETID_WIN_LOSS_REASON","US1 Business Unit","FAAdmin","2016/04/21 11:06:51.0","BU","2016/04/21 11:07:09.953","30F91814A77B5D71E053790B548CA722","FAAdmin","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
